商品名称,商品详情页URL,商品主图链接,月销,单价,佣金比例,佣金,联盟推广链接,优惠券领取链接
新疆俄罗斯全麦大列巴果仁列巴营养早餐糕点原味列巴核桃仁桃葡萄代餐切片面包网红零食 果仁列巴500g	,http://item.jd.com/10025318017845.html	,img14.360buyimg.com/n0/jfs/t1/138058/29/19246/166357/5fe0433eEf6419549/04498b7e26cde1f7.jpg	,0	,19.90	,20.0	,3.98	,https://u.jd.com/ts34qh5	,https://u.jd.com/t2yLwxi	,
拓家香蕉膏手足干裂滋润香蕉精霜防冻防裂修复手脚干裂香蕉霜20g装 香蕉膏 1瓶 20g	,http://item.jd.com/71559022489.html	,img14.360buyimg.com/n0/jfs/t1/139213/28/16609/888035/5fc73d93E314153b1/f8d570438176837d.png	,0	,9.90	,20.0	,1.98	,https://u.jd.com/ti3et6j	,https://u.jd.com/tC3eHm3	,
馨卫士 医用外科一次性口罩挂耳式防细菌飞沫透气清薄三层防护 100片（50只袋装*2）	,http://item.jd.com/10023947844822.html	,img14.360buyimg.com/n0/jfs/t1/120367/27/17605/401333/5fa366e0Ecc7c49f5/5d91f6aa7fdfb53a.jpg	,0	,14.90	,15.0	,2.24	,https://u.jd.com/tByKACc	,https://u.jd.com/t2yI34O	,
官佳 粘毛器 毛球修剪器家用衣物去球器干洗刷毛呢大衣剃毛器刷毛器衣服宠物去毛刷器除毛刷剃毛球器滚毛毡 刮球器【1支装】【买1 送1】	,http://item.jd.com/10022817912546.html	,img14.360buyimg.com/n0/jfs/t1/140744/28/10672/250693/5f858389E35b481f5/e409965274c9a690.jpg	,0	,19.00	,20.0	,3.80	,https://u.jd.com/tk3eNmz	,https://u.jd.com/tz3FR3m	,
霉饼包赔收到冷冻 新柿饼独立小袋500g农家自制柿子饼陕西富平吊柿饼 独立小袋500g	,http://item.jd.com/10024767704703.html	,img14.360buyimg.com/n0/jfs/t1/143407/15/15414/161199/5fbb253bE4328bc63/cc62ab601731f564.jpg	,0	,29.90	,20.0	,5.98	,https://u.jd.com/tq35474	,https://u.jd.com/t83oZDx	,
享食者蛋黄酥10枚糕点年货礼盒500g 雪媚娘饼干蛋糕早餐代餐网红休闲零食小吃 【蛋黄酥10枚装500g/箱】	,http://item.jd.com/10025363364407.html	,img14.360buyimg.com/n0/jfs/t1/143857/13/18217/113369/5fd46415E605a0d1b/422db303d1c9ae7c.jpg	,0	,13.90	,20.0	,2.78	,https://u.jd.com/trydc25	,https://u.jd.com/tfywis7	,
【官方补贴！券后39元3条】味库 开背三去白蕉海鲈鱼300-400克*3条 去鳃去内脏 净鱼	,http://item.jd.com/65452503721.html	,img14.360buyimg.com/n0/jfs/t1/151614/6/10328/262487/5fdc25f4Eb0ab65c8/fa0a51ae4b3cf5b3.jpg	,0	,39.00	,15.0	,5.85	,https://u.jd.com/tl353RI	,https://u.jd.com/tX3FTg5	,
夹心面包片切片吐司乳酸菌果酱蛋糕点心营养早餐下午茶加班熬夜休闲零食 原味 1000g	,http://item.jd.com/10020443508551.html	,img14.360buyimg.com/n0/jfs/t1/131390/30/13775/117575/5f983ac2E9e2a5837/eddd50621e4ce0f4.jpg	,0	,18.90	,20.0	,3.78	,https://u.jd.com/t03FbaT	,https://u.jd.com/ts3eEAw	,
南极人10双装袜子女中筒袜秋冬季运动长袜学生袜子日系韩版休闲堆堆袜女袜 10色素色堆堆袜-10双装	,http://item.jd.com/10022443905593.html	,img14.360buyimg.com/n0/jfs/t1/116827/36/19231/190289/5f77d071Ecc9d201c/77edcb8366dcef81.jpg	,0	,19.90	,20.0	,3.98	,https://u.jd.com/tD34D4z	,https://u.jd.com/tI3egpy	,
农夫山庄蜂蜜味梅饼日式休闲酸的小零食散装孕妇酸梅子蜜饯果脯无核话梅肉酸干 蜂蜜味梅饼80g	,http://item.jd.com/10025509623078.html	,img14.360buyimg.com/n0/jfs/t1/153214/19/4924/271493/5fa3b91bE3e82a56d/798495592451fb42.jpg	,0	,9.80	,20.0	,1.96	,https://u.jd.com/tA3x4qV	,https://u.jd.com/t63hjlz	,
